repo_name,repo_url,stars,contributors,commits,update_date,forks
superset,https://github.com/apache/superset,55878,427,14507,2023-12-24 12:32:35,11989
airflow,https://github.com/apache/airflow,32824,419,22928,2023-12-24 07:33:08,13294
redash,https://github.com/getredash/redash,24302,393,7661,2023-12-24 06:18:32,4223
pyspider,https://github.com/binux/pyspider,16138,51,1181,2023-12-23 10:10:42,3733
changedetection.io,https://github.com/dgtlmoon/changedetection.io,13572,63,1367,2023-12-24 03:08:28,755
dify,https://github.com/langgenius/dify,12727,74,1173,2023-12-24 08:15:49,1684
walle-web,https://github.com/meolu/walle-web,11727,44,1206,2023-12-22 07:13:12,2768
calibre-web,https://github.com/janeczku/calibre-web,10682,205,3982,2023-12-24 03:34:07,1185
OctoPrint,https://github.com/OctoPrint/OctoPrint,7789,237,8837,2023-12-24 10:48:38,1686
knowledge-repo,https://github.com/airbnb/knowledge-repo,5400,55,1329,2023-12-22 09:39:14,711
Mailu,https://github.com/Mailu/Mailu,5089,185,4650,2023-12-23 02:07:24,769
faraday,https://github.com/infobyte/faraday,4331,40,12152,2023-12-23 00:53:51,863
app,https://github.com/simple-login/app,4321,45,4748,2023-12-23 19:38:32,383
ckan,https://github.com/ckan/ckan,4123,282,25535,2023-12-24 10:14:33,1962
archivy,https://github.com/archivy/archivy,3107,23,561,2023-12-23 12:38:52,110
open-event-server,https://github.com/fossasia/open-event-server,2929,218,8652,2023-12-23 16:42:38,1899
Mycodo,https://github.com/kizniche/Mycodo,2737,49,6720,2023-12-23 13:33:39,459
LogonTracer,https://github.com/JPCERTCC/LogonTracer,2540,9,201,2023-12-24 04:07:22,452
flaskbb,https://github.com/flaskbb/flaskbb,2480,57,1961,2023-12-23 18:11:04,638
timesketch,https://github.com/google/timesketch,2418,106,3176,2023-12-21 22:06:51,560
quay,https://github.com/quay/quay,2300,85,11957,2023-12-23 23:41:41,261
PowerDNS-Admin,https://github.com/PowerDNS-Admin/PowerDNS-Admin,2214,127,1645,2023-12-24 06:52:13,625
cve-search,https://github.com/cve-search/cve-search,2142,56,2646,2023-12-21 14:05:53,588
coco-annotator,https://github.com/jsbroks/coco-annotator,1946,34,324,2023-12-23 13:41:50,435
pgadmin4,https://github.com/pgadmin-org/pgadmin4,1800,116,6854,2023-12-23 14:17:57,539
cube-studio,https://github.com/tencentmusic/cube-studio,1655,28,850,2023-12-23 07:54:23,424