repo_url,stars,forks
https://github.com/binux/pyspider,16090,3726
https://github.com/dgtlmoon/changedetection.io,12871,716
https://github.com/janeczku/calibre-web,10314,1159
https://github.com/langgenius/dify,9426,1390
https://github.com/OctoPrint/OctoPrint,7693,1667
https://github.com/flask-admin/flask-admin,5503,1566
https://github.com/Mailu/Mailu,4963,759
https://github.com/infobyte/faraday,4270,852
https://github.com/ckan/ckan,4073,1947
https://github.com/UndeadSec/SocialFish,3666,1243
https://github.com/fossasia/open-event-server,2913,1888
https://github.com/kizniche/Mycodo,2686,456
https://github.com/cider-security-research/cicd-goat,1670,226
https://github.com/getsentry/sentry-python,1643,459
https://github.com/pinterest/querybook,1565,200
https://github.com/fossasia/open-event-legacy,1468,42
https://github.com/diyhue/diyHue,1432,260
https://github.com/ctf-wiki/ctf-challenges,1327,433
https://github.com/nccgroup/house,1267,209
https://github.com/OpnTec/open-event-server,1225,4
https://github.com/dongweiming/web_develop,1201,537
https://github.com/thiagoralves/OpenPLC_v3,842,372
https://github.com/cryptoadvance/specter-desktop,759,238
https://github.com/jhpyle/docassemble,679,241
https://github.com/Lookyloo/lookyloo,601,72
https://github.com/AdamGold/Dryvo,597,127
https://github.com/gae-init/gae-init,538,131
https://github.com/USTC-Hackergame/hackergame2021-writeups,444,80
https://github.com/DataDog/dd-trace-py,443,415
https://github.com/GT4SD/gt4sd-core,271,57
https://github.com/lattebank/airflow-dag-creation-manager-plugin,261,89
https://github.com/armadillica/flamenco,256,53
https://github.com/timkpaine/paperboy,242,27
https://github.com/fedora-infra/anitya,219,93
https://github.com/pandora-analysis/pandora,217,31
https://github.com/miguelgrinberg/aioflask,200,16
https://github.com/tillsteinbach/VWsFriend,180,13
https://github.com/RansomLook/RansomLook,167,29
https://github.com/roramirez/qpanel,164,105
https://github.com/amirotin/Kinopoisk.bundle,159,41
https://github.com/mardix/assembly,159,7
https://github.com/titipata/detecting-scientific-claim,140,19
https://github.com/gil9red/SimplePyScripts,139,34
https://github.com/passiomatic/coldsweat,129,20
https://github.com/chakki-works/chABSA-dataset,128,9
https://github.com/valhuber/ApiLogicServer,125,22
https://github.com/teal33t/poopak,122,30
https://github.com/Drakkar-Software/OctoBot-Tentacles,113,67
https://github.com/cpmarvin/lnetd,113,12
https://github.com/dpinney/omf,110,61
https://github.com/misakar/mana,103,17
https://github.com/EdwardBetts/osm-wikidata,99,20
https://github.com/adisonhuang/flask-blog,99,38
https://github.com/AdrianVollmer/Crack-O-Matic,98,3
https://github.com/on-nix/python,97,41
https://github.com/lipis/github-stats,91,14
https://github.com/InQuest/ThreatKB,90,19
https://github.com/BlenderKit/blenderkit,89,16
https://github.com/conbench/conbench,89,19
https://github.com/bkbilly/AlarmPI,82,12
https://github.com/PacktPublishing/Hands-On-Graph-Analytics-with-Neo4j,75,43
https://github.com/facundoolano/feedi,73,4
https://github.com/kaushikraj/sb-admin-2-flask-admin,66,27
https://github.com/mediacloud/web-tools,64,31
https://github.com/sunhetao/walnuts,59,19
https://github.com/robalb/morsechat,58,5
https://github.com/deep-learning-indaba/Baobab,52,34
https://github.com/keithjjones/malgazer,51,17
https://github.com/Kyria/LazyBlacksmith,48,27
https://github.com/adam-p/danforth-east,48,14
https://github.com/madvas/gae-angular-material-starter,48,18
https://github.com/marcus67/little_brother,48,8
https://github.com/Language-Tools/anki-hyper-tts,46,7
https://github.com/buptyyf/cartoonDataShow,44,25
https://github.com/StartupsPoleEmploi/labonneboite,42,15
https://github.com/Koubae/Programming-CookBook,41,18
https://github.com/smartgridadsc/OpenPLC61850,39,14
https://github.com/SYSUMonkeyEye/MonkeyEye-Server,38,21
https://github.com/cuttlesoft/flask-bitmapist,38,8
https://github.com/ZHAISHENKING/izone,37,27
https://github.com/gae-init/gae-init-upload,36,15
https://github.com/hammerlab/cycledash,35,2
https://github.com/dynilib/submission,34,8
https://github.com/mrgambal/vulyk,34,6
https://github.com/Bitwise-01/Apex-2.0,31,5
https://github.com/abhioncbr/docker-airflow,31,5
https://github.com/armadillica/pillar,31,4
https://github.com/ypmc/flask-sqlalchemy-web,31,41
https://github.com/houmie/sso,28,14
https://github.com/NDHWAlliance/gitlab-analytics,27,4
https://github.com/microsoft/CodeGenerationPoisoning,27,3
https://github.com/ChuckMac/ADRFinder,26,13
https://github.com/gae-init/gae-init-babel,26,9
https://github.com/toconnell/kdm-manager,26,11
https://github.com/burglarhobbit/machine-reading-comprehension,25,11
https://github.com/PaccMann/paccmann_datasets,24,6
https://github.com/RCOSDP/weko,24,44
https://github.com/Virusmater/togger,23,4
https://github.com/pass-culture/pass-culture-api,23,7
https://github.com/Muxi-X/muxi_site,22,12
https://github.com/andrebaldo/python-vue-spa-boilerplate,22,19
https://github.com/intel/tcf,22,30
https://github.com/ckan/ckan-service-provider,21,22
https://github.com/dchaplinsky/unshred-tag,21,9
https://github.com/sciapp/sampledb,21,9
https://github.com/seiferta/eMonitor,21,14
https://github.com/hipster-philology/pyrrha,20,17
https://github.com/mxcube/mxcubeweb,19,34
https://github.com/paxswill/evesrp,19,13
https://github.com/DSU-DefSec/ScoringEngine,18,7
https://github.com/LawAlias/gisflask,18,12
https://github.com/SNIA/Swordfish-API-Emulator,18,19
https://github.com/Stumblinbear/Prism,18,2
https://github.com/ffont/freesound-explorer,18,3
https://github.com/hjkgrp/MOFSimplify,18,3
https://github.com/Stasonis/fitbit-api-example-python,16,14
https://github.com/gae-init/gae-init-debug,16,4
https://github.com/glotzerlab/signac-dashboard,16,6
https://github.com/kawa-kokosowa/bubblebbs,16,3
https://github.com/mitmedialab/MediaCloud-Dashboard,16,6
https://github.com/rtp-book/project,16,6
https://github.com/SDN-Security/TENNISON,15,7
https://github.com/kawa-kokosowa/urlink,15,1
https://github.com/gae-init/gae-init-docs,14,18
https://github.com/mistergates/ipmon,14,10
https://github.com/parity-asia/hackathon-2023-summer,14,77
https://github.com/redislabs-training/keybase,14,2
https://github.com/Darrenzzy/pro-guide,13,6
https://github.com/academic-resources/stared-repos,13,11
https://github.com/beched/ctf,13,4
https://github.com/digicoop/frasco,13,1
https://github.com/lowks/Airflow,13,15
https://github.com/statgen/encore,13,6
https://github.com/Club-Alpin-Annecy/collectives,12,17
https://github.com/Crossoufire/MyLists,12,4
https://github.com/Drakkar-Software/OctoBot-Services,12,22
https://github.com/ZeusWPI/Haldis,12,15
https://github.com/charliewolf/flask-sqlalchemy-rls,12,0
https://github.com/cndn/intelligent-code-completion,12,13
https://github.com/paris-saclay-cds/ramp-board,12,17
https://github.com/yeyeto2788/Things-Organizer,12,1
https://github.com/zhonghcc/picmeup,12,4
https://github.com/alvinwan/quupod,11,2
https://github.com/bodik/sner4,11,5
https://github.com/dmitryduev/DeepStreaks,11,2
https://github.com/ericsouza/flask-sketch,11,2
https://github.com/hriks/user_management,11,2
https://github.com/mediatum/mediatum,11,7
https://github.com/mertcangokgoz/QSNMP,11,2
https://github.com/tla/stemmaweb,11,9
https://github.com/wthueb/fundonebot,11,8
https://github.com/xutaoding/quart,11,1
https://github.com/AtlantixJJ/frame-difference-loss,10,1
https://github.com/BUILT-CoLAB/license-key-manager,10,3
https://github.com/PUM13-2023/pum13-2023,10,1
https://github.com/PYART0/PyART,10,6
https://github.com/imfht/flaskapps,10,5
https://github.com/nihaohello/My_Online_Scan,10,3
https://github.com/ondiekelijah/Physician-Request-Web-App,10,1
https://github.com/sprin/pg-discuss,10,1
https://github.com/streety/flask-second-factor-auth,10,2
https://github.com/LiuFang816/SALSTM_py_data,9,7
https://github.com/Studio-Yandex-Practicum/bot_delo_zhivet,9,11
https://github.com/airq-dev/hazebot,9,1
https://github.com/cloudsriseup/CollabPentestFramework,9,6
https://github.com/gureuso/first_flask,9,5
https://github.com/mozilla-releng/shipit,9,25
https://github.com/xspurs/flaskblog,9,0
https://github.com/zesje/zesje,9,1
https://github.com/ContinuumIO/flask-kerberos-login,8,10
https://github.com/Muxi-Studio/muxiOOOOOauth,8,2
https://github.com/UTA-FabLab/OctoPuppet,8,2
https://github.com/bitraf/p2k16,8,10
https://github.com/duducosmos/livro_python,8,6
https://github.com/freedomgames/Planet-Lab,8,16
https://github.com/hackenbergstefan/coffeebuddy,8,3
https://github.com/paigerodeghero/TigerDataCoding,8,7
https://github.com/schwartz721/role_required,8,1
https://github.com/tsonglew/learn-python,8,0
https://github.com/victims/victims-web,8,5
https://github.com/HackHerz/padwoman,7,4
https://github.com/Muxi-Studio/culturalfes,7,1
https://github.com/ScilifelabDataCentre/dds_web,7,7
https://github.com/Uninett/probe-website,7,8
https://github.com/VSOURCE-Platform/VSOURCE_FACE_PLATFORM,7,0
https://github.com/anpylar/flaskpylar,7,0
https://github.com/dmitryduev/zwickyverse,7,3
https://github.com/geokrety/geokrety-api,7,3
https://github.com/hdgs/guisheng_be,7,2
https://github.com/howardyan93/fab,7,3
https://github.com/neovintage/heroku-airflow,7,4
https://github.com/razzius/weave,7,2
https://github.com/techfreaque/octane,7,6
https://github.com/tsonglew/Votes,7,2
https://github.com/wangdabin1216/airflow-dag-creation-manager-plugin-python3,7,3
https://github.com/3dem/emhub,6,2
https://github.com/BigDataMatrix/DataPipeline,6,0
https://github.com/IBM-EPBL/IBM-Project-14442-1659585720,6,9
https://github.com/acm-uiuc/concert,6,3
https://github.com/bgmnbear/flask-bbs,6,1
https://github.com/decompetition/server,6,0
https://github.com/jonnykry/infilcheck,6,3
https://github.com/manshar/birwaz,6,0
https://github.com/mardix/Mocha,6,1
https://github.com/muxi-mini-project/2017-diary-backend,6,1
https://github.com/onaio/superset-patchup,6,7
https://github.com/racinel200/DeviceManagerRDMUIC,6,4
https://github.com/search5/octobersky,6,0
https://github.com/smonagh/flask-password-reset,6,6
https://github.com/standard-chartered/stratus-safecloud,6,1
https://github.com/zaratsian/docker_containers,6,8
https://github.com/ztane/pyramid-admin,6,0
https://github.com/ApiLogicServer/ApiLogicServer-src,5,0
https://github.com/Ctrlsman/utils,5,0
https://github.com/DAWMFIEC/CCPG1010,5,12
https://github.com/EdinburghGenomics/Reporting-App,5,1
https://github.com/JennaSys/pcra,5,2
https://github.com/Language-Tools/anki-language-tools,5,0
https://github.com/MarekSuchanek/repocribro,5,2
https://github.com/PIALARA/pia-lara,5,7
https://github.com/Ptt-official-app/PyOpenBBSMiddleware,5,1
https://github.com/RUGSoftEng/2018-PyDash.io,5,2
https://github.com/abannang/3-tier-HA-Python-Flask-App,5,4
https://github.com/atlanticwave-sdx/atlanticwave-proto,5,6
https://github.com/atulmishra-one/dairy_management_portal,5,3
https://github.com/awesome-davian/lab.home,5,1
https://github.com/bujnlc8/admin-gsc,5,6
https://github.com/denisafanasev/neurohealth.care,5,0
https://github.com/drizzleco/create-flask-app,5,0
https://github.com/freddygarcia/flask_template,5,1
https://github.com/gesiscss/binder_gallery,5,1
https://github.com/greatabel/FlaskRepository,5,0
https://github.com/inveniosoftware/invenio-accounts,5,64
https://github.com/leixiayang/PythonWeb-,5,1
https://github.com/matejak/estimagus,5,0
https://github.com/mimre25/graph-visual,5,1
https://github.com/misakar/rest,5,1
https://github.com/navanchauhan/SaaS-in-a-Flask,5,0
https://github.com/postmodern-paste/postmodern-paste,5,0
https://github.com/prefeiturasp/SME-PratoAberto-Editor,5,6
https://github.com/quanpower/smart-iiot,5,1
https://github.com/reanahub/reana-server,5,29
https://github.com/scizen9/sedmpy,5,4
https://github.com/sunlightlabs/the-phantom-mask,5,2
https://github.com/teknologkoren/flasquelistan,5,3
https://github.com/tullyclark/notasi,5,2
https://github.com/vishnugt/TOTP-protected-file-hosting,5,0
https://github.com/zaratsian/DL_Image_Classification,5,6
https://github.com/AZLisme/sihoo,4,1
https://github.com/EdwardBetts/owl-map,4,0
https://github.com/Jugendhackt/fakeIDsharing,4,2
https://github.com/MTecknology/homedata,4,0
https://github.com/OSLL/asm_web_debug,4,0
https://github.com/STU940652/CTS_Scoreboard,4,0
https://github.com/UmaSupporter/UmaSupporter.Server,4,3
https://github.com/YcMcGong/TheSmileyApp,4,1
https://github.com/ajmorenodelarosa/wodbooster,4,2
https://github.com/asso-msn/msn-web,4,0
https://github.com/bridgermusic/easy-graphql-server,4,0
https://github.com/bunnylab/flask-zkpp,4,1
https://github.com/crs4/life_monitor,4,4
https://github.com/dajiaji/flask-paseto-extended,4,0
https://github.com/diyoraa01/CS411,4,1
https://github.com/doccaz/labvirtual,4,0
https://github.com/dremerb/kacky_schedule,4,1
https://github.com/dssg/tyra,4,1
https://github.com/gae-init/gae-init-magic,4,0
https://github.com/geyunxiang/mmdps,4,2
https://github.com/gsternagl/python-diematic,4,4
https://github.com/gwf-uwaterloo/cuizinart,4,0
https://github.com/importer/goflow,4,2
https://github.com/isi-nlp/boteval,4,0
https://github.com/kheabrosec/AlertGateway,4,0
https://github.com/khoi-nguyen/mathsnuggets,4,2
https://github.com/kosc/neobug,4,2
https://github.com/lipis/crypto-pocket,4,0
https://github.com/liqiang0508/PythonStudy,4,1
https://github.com/mikelmcdaniel/grade-oven,4,2
https://github.com/mindsync-ai/mvp,4,2
https://github.com/mongulu-cm/mtchoun-mouh,4,2
https://github.com/openearth/sdc-visualization,4,1
https://github.com/techfreaque/octo-ui-2,4,4
https://github.com/tnugent97/FutAir,4,1
https://github.com/topless/ranking-app,4,0
https://github.com/tsonglew/sentiment-analysis,4,0
https://github.com/zNitche/ao3-web-reader,4,0
https://github.com/zainosaurus/spotify-app,4,2
https://github.com/Archive-42/Cloned-Repos,3,7
https://github.com/Ceredira/CerediraTess,3,3
https://github.com/Endi0n/LabIP,3,0
https://github.com/Gubchik123/ITish,3,0
https://github.com/IBM-EPBL/IBM-Project-25-1658148126,3,0
https://github.com/IBM-EPBL/IBM-Project-3252-1658509040,3,7
https://github.com/Input-BDF/SARS_CoV_2_Contact_Registration,3,2
https://github.com/JNUGeek/JNUGeek.github.io,3,1
https://github.com/KebleBall/Eisitirio,3,2
https://github.com/Lookyloo/monitoring,3,1
https://github.com/OrvilleX/xflow,3,1
https://github.com/PYART0/PyART-demo,3,3
https://github.com/Taletex/CoreAAS-based-application,3,1
https://github.com/TheCDC/journal_app,3,0
https://github.com/TomGoBravo/tourist-with-flask,3,0
https://github.com/WaIdo/infocollecttool,3,3
https://github.com/a0x8o/airflow,3,2
https://github.com/akashtalole/python-flask-restful-api,3,1
https://github.com/anstones/py-collection,3,0
https://github.com/beefjerky/new_airflow,3,1
https://github.com/bonn-activity-maps/bam_annotation_tool,3,1
https://github.com/bsc-iitm/soft-engg-project-jan-2023-group-4-synergy_4apd,3,1
https://github.com/btulab/eyeCU,3,1
https://github.com/clemenstyp/SnackBar,3,2
https://github.com/cwojick48/moonlight-coder,3,1
https://github.com/ddcw/ei,3,0
https://github.com/dpinney/coopforecast,3,1
https://github.com/dpinney/r3it,3,0
https://github.com/ezyang/stenowiki,3,0
https://github.com/ghdic/marinelifeirony,3,3
https://github.com/harveybc/data-logger,3,0
https://github.com/jajberni/pcse_web,3,2
https://github.com/jamebluntcc/flask_auth_system,3,1
https://github.com/jendyren/emission,3,2
https://github.com/kaw393939/flask_auth,3,12
https://github.com/kime/kime,3,1
https://github.com/kira-lin/ve450-declarative-deployment-framework,3,1
https://github.com/kpielacki/ece-567,3,2
https://github.com/lemonoil/ArkPunk,3,1
https://github.com/lila/flask-dance-fitbit,3,2
https://github.com/mpdavis/vinz,3,5
https://github.com/ncthuc/flask-api-boilerplate,3,8
https://github.com/niaid/nephele2,3,3
https://github.com/nivesnine/flask-semantic-ui-mvc,3,1
https://github.com/number13dev/mincloud,3,3
https://github.com/pangyemeng/myjob,3,3
https://github.com/pjotrp/yaj,3,6
https://github.com/proganalysis/python3_types,3,3
https://github.com/ryananeff/medtracker,3,1
https://github.com/sabi/nervos,3,0
https://github.com/serenasensini/Docker-per-Django-e-Postgres,3,0
https://github.com/tanisman/heliumover,3,0
https://github.com/tassaron/muffin-shop,3,0
https://github.com/telecran-telecrit/drawboard-json,3,0
https://github.com/ualberta-smr/PyMigBench,3,0
https://github.com/ucsb-seclab/hacrs,3,2
https://github.com/wurstmineberg/wurstmineberg.de,3,4
https://github.com/yotron/s3app,3,0
https://github.com/2020SeniorProject/CS-490-Senior-Project,2,0
https://github.com/4321baoxueyi/volume-visual,2,0
https://github.com/Antonboom/dressing_room_API,2,0
https://github.com/Aragroth/python-online-programming,2,0
https://github.com/Arjun31415/Microblog,2,0
https://github.com/ArtSN7/VERK-WebProject,2,0
https://github.com/Bekt/flask-start,2,0
https://github.com/BenjaminPelletier/streamtagger,2,0
https://github.com/CPS714-GROUP-12/cps714project,2,1
https://github.com/FagnerGoncalves/projeto_integrador,2,0
https://github.com/Firdauskunju/OpenPLC104,2,0
https://github.com/IBM-EPBL/IBM-Project-18932-1659691407,2,5
https://github.com/IBM-EPBL/IBM-Project-40427-1660629312,2,0
https://github.com/IBM-EPBL/IBM-Project-6196-1658824445,2,2
https://github.com/IBM-EPBL/IBM-Project-7646-1658895017,2,2
https://github.com/JungbeomLee/SEM.Community-FLASK,2,2
https://github.com/MIT-Tab/mittab-deploy,2,1
https://github.com/NICHD-BSPC/effort-log,2,0
https://github.com/PlanetaryResources/pid,2,0
https://github.com/RicardoAJPinto/Back-End-ProjectoFinal,2,0
https://github.com/SuddenDevs/SuddenDev,2,0
https://github.com/The-Syntax-Sorcerers/ava,2,0
https://github.com/adriaesteve/bmexFunding,2,0
https://github.com/antsala/eHacking_LABS,2,1
https://github.com/aprosdev/ecom-predictor,2,1
https://github.com/ashley-cui/PlaylistRun,2,0
https://github.com/ashleycollinge1/SELMgmt,2,0
https://github.com/benregn/flask-python-social-auth,2,1
https://github.com/cdong1995/DBProj1,2,0
https://github.com/cviaai/coronomy,2,1
https://github.com/derrxb/adb-final,2,2
